id,batch_id,inspection_time,result,severity,sample_size,failed_units,observed_defect_rate,source_ref,supplier_name,component_name,product_id,order_id,inspector,failure_mode
QI-ORD-2024-100015-聚合物锂电池,BATCH-京东方_BOE-202408,2024-08-07 03:15:00,FAIL,high,131,1,0.00763,SRC-QI-ORD-2024-100015,京东方 (BOE),聚合物锂电池,SKU-WE-V01,ORD-2024-100015,Factory-QA-7,capacity_drift
QI-ORD-2024-100016-硅晶圆,BATCH-歌尔股份_GOERTEK-202405,2024-05-16 19:08:00,FAIL,high,136,1,0.00735,SRC-QI-ORD-2024-100016,歌尔股份 (Goertek),硅晶圆,SKU-ST-M01,ORD-2024-100016,Line-QA-A,functional_drift
QI-ORD-2024-100017-硅晶圆,BATCH-京东方_BOE-202407,2024-07-15 15:00:00,FAIL,high,108,1,0.00926,SRC-QI-ORD-2024-100017,京东方 (BOE),硅晶圆,SKU-AE-M01,ORD-2024-100017,Line-QA-B,functional_drift
QI-ORD-2024-100018-CMOS图像传感器,BATCH-立讯精密_LUXSHARE-202409,2024-09-05 08:25:00,FAIL,high,84,1,0.01190,SRC-QI-ORD-2024-100018,立讯精密 (Luxshare),CMOS图像传感器,SKU-CE-P01,ORD-2024-100018,Line-QA-B,sensor_noise
QI-ORD-2024-100019-聚合物锂电池,BATCH-韦尔股份_WILLSEMI-202404,2024-04-18 02:07:00,WARN,medium,188,1,0.00532,SRC-QI-ORD-2024-100019,韦尔股份 (Willsemi),聚合物锂电池,SKU-WE-W01,ORD-2024-100019,Factory-QA-7,capacity_drift
QI-ORD-2024-100020-闪存颗粒,BATCH-紫光展锐_UNISOC-202403,2024-03-03 19:46:00,FAIL,high,111,1,0.00901,SRC-QI-ORD-2024-100020,紫光展锐 (UNISOC),闪存颗粒,SKU-ST-S01,ORD-2024-100020,Factory-QA-7,functional_drift
QI-ORD-2024-100021-闪存颗粒,BATCH-紫光展锐_UNISOC-202406,2024-06-07 22:28:00,FAIL,high,207,3,0.01449,SRC-QI-ORD-2024-100021,紫光展锐 (UNISOC),闪存颗粒,SKU-CE-L01,ORD-2024-100021,Factory-QA-7,functional_drift
QI-ORD-2024-100022-主控芯片,BATCH-京东方_BOE-202405,2024-05-19 19:57:00,FAIL,high,122,2,0.01639,SRC-QI-ORD-2024-100022,京东方 (BOE),主控芯片,SKU-AE-C01,ORD-2024-100022,Line-QA-A,display_mura
QI-ORD-2024-100023-硅晶圆,BATCH-立讯精密_LUXSHARE-202404,2024-04-17 21:55:00,FAIL,high,125,1,0.00800,SRC-QI-ORD-2024-100023,立讯精密 (Luxshare),硅晶圆,SKU-WE-V01,ORD-2024-100023,Factory-QA-7,functional_drift
QI-ORD-2024-100026-光学镜头,BATCH-中芯国际_SMIC-202306,2023-07-01 08:12:00,FAIL,high,216,3,0.01389,SRC-QI-ORD-2024-100026,中芯国际 (SMIC),光学镜头,SKU-CE-L01,ORD-2024-100026,Line-QA-B,functional_drift
QI-ORD-2024-100027-散热模组,BATCH-立讯精密_LUXSHARE-202306,2023-06-14 18:38:00,FAIL,high,83,1,0.01205,SRC-QI-ORD-2024-100027,立讯精密 (Luxshare),散热模组,SKU-AE-C01,ORD-2024-100027,Factory-QA-7,display_mura
QI-ORD-2024-100028-CMOS图像传感器,BATCH-中芯国际_SMIC-202407,2024-07-23 02:31:00,FAIL,high,117,1,0.00855,SRC-QI-ORD-2024-100028,中芯国际 (SMIC),CMOS图像传感器,SKU-WE-V01,ORD-2024-100028,Line-QA-B,sensor_noise
QI-ORD-2024-100029-散热模组,BATCH-闻泰科技_WINGTECH-202405,2024-05-11 14:36:00,FAIL,high,126,2,0.01587,SRC-QI-ORD-2024-100029,闻泰科技 (Wingtech),散热模组,SKU-WE-W01,ORD-2024-100029,Line-QA-B,connector_shift
QI-ORD-2024-100030-散热模组,BATCH-立讯精密_LUXSHARE-202307,2023-07-23 01:35:00,FAIL,high,215,2,0.00930,SRC-QI-ORD-2024-100030,立讯精密 (Luxshare),散热模组,SKU-AE-C01,ORD-2024-100030,Factory-QA-7,display_mura
QI-ORD-2024-100031-主控芯片,BATCH-紫光展锐_UNISOC-202307,2023-07-18 16:29:00,FAIL,high,144,1,0.00694,SRC-QI-ORD-2024-100031,紫光展锐 (UNISOC),主控芯片,SKU-WE-W01,ORD-2024-100031,Line-QA-B,functional_drift
QI-ORD-2024-100032-CMOS图像传感器,BATCH-闻泰科技_WINGTECH-202310,2023-10-03 15:43:00,FAIL,high,115,1,0.00870,SRC-QI-ORD-2024-100032,闻泰科技 (Wingtech),CMOS图像传感器,SKU-AE-M01,ORD-2024-100032,Line-QA-B,sensor_noise
QI-ORD-2024-100033-闪存颗粒,BATCH-立讯精密_LUXSHARE-202401,2024-01-12 23:45:00,FAIL,high,157,1,0.00637,SRC-QI-ORD-2024-100033,立讯精密 (Luxshare),闪存颗粒,SKU-CE-P01,ORD-2024-100033,Line-QA-A,functional_drift
QI-ORD-2024-100035-闪存颗粒,BATCH-歌尔股份_GOERTEK-202308,2023-08-07 08:08:00,FAIL,high,104,1,0.00962,SRC-QI-ORD-2024-100035,歌尔股份 (Goertek),闪存颗粒,SKU-WE-V01,ORD-2024-100035,Factory-QA-7,functional_drift
QI-ORD-2024-100036-CMOS图像传感器,BATCH-长江存储_YMTC-202404,2024-04-12 05:08:00,FAIL,high,197,2,0.01015,SRC-QI-ORD-2024-100036,长江存储 (YMTC),CMOS图像传感器,SKU-WE-W01,ORD-2024-100036,Line-QA-B,sensor_noise
QI-ORD-2024-100037-散热模组,BATCH-华为海思_HISILICON-202312,2023-12-27 07:07:00,FAIL,high,213,3,0.01408,SRC-QI-ORD-2024-100037,华为海思 (HiSilicon),散热模组,SKU-ST-M01,ORD-2024-100037,Line-QA-B,connector_shift
QI-ORD-2024-100038-散热模组,BATCH-立讯精密_LUXSHARE-202306,2023-06-14 19:04:00,FAIL,high,136,1,0.00735,SRC-QI-ORD-2024-100038,立讯精密 (Luxshare),散热模组,SKU-CE-P01,ORD-2024-100038,Line-QA-A,connector_shift
QI-ORD-2024-100039-光学镜头,BATCH-比亚迪半导体_BYD-202402,2024-02-02 19:11:00,FAIL,high,217,2,0.00922,SRC-QI-ORD-2024-100039,比亚迪半导体 (BYD),光学镜头,SKU-CE-P01,ORD-2024-100039,Factory-QA-7,functional_drift
QI-ORD-2024-100040-聚合物锂电池,BATCH-长江存储_YMTC-202406,2024-05-31 19:48:00,FAIL,high,218,1,0.00459,SRC-QI-ORD-2024-100040,长江存储 (YMTC),聚合物锂电池,SKU-AE-C01,ORD-2024-100040,Factory-QA-7,display_mura
QI-ORD-2024-100041-主控芯片,BATCH-华为海思_HISILICON-202406,2024-06-24 02:28:00,FAIL,high,105,1,0.00952,SRC-QI-ORD-2024-100041,华为海思 (HiSilicon),主控芯片,SKU-AE-C01,ORD-2024-100041,Line-QA-B,display_mura
QI-ORD-2024-100042-聚合物锂电池,BATCH-立讯精密_LUXSHARE-202306,2023-06-07 07:11:00,FAIL,high,164,1,0.00610,SRC-QI-ORD-2024-100042,立讯精密 (Luxshare),聚合物锂电池,SKU-CE-L01,ORD-2024-100042,Line-QA-B,capacity_drift
QI-ORD-2024-100043-OLED柔性屏,BATCH-比亚迪半导体_BYD-202307,2023-07-28 00:15:00,FAIL,high,215,2,0.00930,SRC-QI-ORD-2024-100043,比亚迪半导体 (BYD),OLED柔性屏,SKU-WE-V01,ORD-2024-100043,Line-QA-A,display_mura
QI-ORD-2024-100044-闪存颗粒,BATCH-比亚迪半导体_BYD-202309,2023-09-22 22:28:00,FAIL,high,186,2,0.01075,SRC-QI-ORD-2024-100044,比亚迪半导体 (BYD),闪存颗粒,SKU-CE-P01,ORD-2024-100044,Factory-QA-7,functional_drift
QI-ORD-2024-100045-光学镜头,BATCH-长江存储_YMTC-202409,2024-09-14 01:09:00,FAIL,high,155,2,0.01290,SRC-QI-ORD-2024-100045,长江存储 (YMTC),光学镜头,SKU-AE-C01,ORD-2024-100045,Factory-QA-7,display_mura
QI-ORD-2024-100046-聚合物锂电池,BATCH-闻泰科技_WINGTECH-202309,2023-09-09 04:25:00,FAIL,high,111,1,0.00901,SRC-QI-ORD-2024-100046,闻泰科技 (Wingtech),聚合物锂电池,SKU-ST-M01,ORD-2024-100046,Line-QA-B,capacity_drift
QI-ORD-2024-100047-光学镜头,BATCH-中芯国际_SMIC-202402,2024-02-09 06:36:00,FAIL,high,107,1,0.00935,SRC-QI-ORD-2024-100047,中芯国际 (SMIC),光学镜头,SKU-AE-M01,ORD-2024-100047,Line-QA-B,functional_drift
QI-ORD-2024-100048-PCB印刷电路板,BATCH-紫光展锐_UNISOC-202309,2023-09-27 03:41:00,FAIL,high,172,1,0.00581,SRC-QI-ORD-2024-100048,紫光展锐 (UNISOC),PCB印刷电路板,SKU-WE-W01,ORD-2024-100048,Line-QA-A,functional_drift
QI-ORD-2024-100049-聚合物锂电池,BATCH-歌尔股份_GOERTEK-202309,2023-09-20 14:02:00,FAIL,high,91,1,0.01099,SRC-QI-ORD-2024-100049,歌尔股份 (Goertek),聚合物锂电池,SKU-ST-S01,ORD-2024-100049,Line-QA-B,capacity_drift
QI-ORD-2024-100052-散热模组,BATCH-闻泰科技_WINGTECH-202407,2024-07-24 11:09:00,FAIL,high,151,1,0.00662,SRC-QI-ORD-2024-100052,闻泰科技 (Wingtech),散热模组,SKU-AE-C01,ORD-2024-100052,Line-QA-B,display_mura
QI-ORD-2024-100054-OLED柔性屏,BATCH-紫光展锐_UNISOC-202405,2024-05-25 19:37:00,FAIL,high,116,1,0.00862,SRC-QI-ORD-2024-100054,紫光展锐 (UNISOC),OLED柔性屏,SKU-WE-V01,ORD-2024-100054,Line-QA-A,display_mura
QI-ORD-2024-100055-硅晶圆,BATCH-韦尔股份_WILLSEMI-202401,2024-01-15 10:00:00,FAIL,high,85,1,0.01176,SRC-QI-ORD-2024-100055,韦尔股份 (Willsemi),硅晶圆,SKU-AE-M01,ORD-2024-100055,Line-QA-B,functional_drift
QI-ORD-2024-100056-硅晶圆,BATCH-京东方_BOE-202407,2024-07-13 01:52:00,FAIL,high,103,1,0.00971,SRC-QI-ORD-2024-100056,京东方 (BOE),硅晶圆,SKU-ST-S01,ORD-2024-100056,Line-QA-B,functional_drift
QI-ORD-2024-100057-闪存颗粒,BATCH-比亚迪半导体_BYD-202312,2023-12-30 22:23:00,FAIL,high,126,2,0.01587,SRC-QI-ORD-2024-100057,比亚迪半导体 (BYD),闪存颗粒,SKU-CE-L01,ORD-2024-100057,Line-QA-B,functional_drift
QI-ORD-2024-100059-聚合物锂电池,BATCH-韦尔股份_WILLSEMI-202406,2024-06-23 20:45:00,FAIL,high,100,1,0.01000,SRC-QI-ORD-2024-100059,韦尔股份 (Willsemi),聚合物锂电池,SKU-WE-W01,ORD-2024-100059,Factory-QA-7,capacity_drift
QI-ORD-2024-100060-PCB印刷电路板,BATCH-中芯国际_SMIC-202410,2024-10-07 03:17:00,WARN,medium,170,1,0.00588,SRC-QI-ORD-2024-100060,中芯国际 (SMIC),PCB印刷电路板,SKU-WE-W01,ORD-2024-100060,Factory-QA-7,functional_drift
QI-ORD-2024-100061-聚合物锂电池,BATCH-歌尔股份_GOERTEK-202401,2024-01-14 09:05:00,FAIL,high,112,1,0.00893,SRC-QI-ORD-2024-100061,歌尔股份 (Goertek),聚合物锂电池,SKU-CE-L01,ORD-2024-100061,Line-QA-B,capacity_drift
QI-ORD-2024-100062-聚合物锂电池,BATCH-华为海思_HISILICON-202311,2023-11-22 14:25:00,FAIL,high,174,2,0.01149,SRC-QI-ORD-2024-100062,华为海思 (HiSilicon),聚合物锂电池,SKU-WE-V01,ORD-2024-100062,Line-QA-A,capacity_drift
QI-ORD-2024-100063-主控芯片,BATCH-歌尔股份_GOERTEK-202401,2024-01-14 19:28:00,FAIL,high,205,3,0.01463,SRC-QI-ORD-2024-100063,歌尔股份 (Goertek),主控芯片,SKU-WE-V01,ORD-2024-100063,Factory-QA-7,functional_drift
QI-ORD-2024-100064-光学镜头,BATCH-歌尔股份_GOERTEK-202408,2024-08-06 19:56:00,FAIL,high,206,2,0.00971,SRC-QI-ORD-2024-100064,歌尔股份 (Goertek),光学镜头,SKU-ST-S01,ORD-2024-100064,Factory-QA-7,functional_drift
QI-ORD-2024-100065-PCB印刷电路板,BATCH-长江存储_YMTC-202306,2023-06-30 18:55:00,FAIL,high,200,1,0.00500,SRC-QI-ORD-2024-100065,长江存储 (YMTC),PCB印刷电路板,SKU-WE-W01,ORD-2024-100065,Line-QA-A,functional_drift
QI-ORD-2024-100066-光学镜头,BATCH-紫光展锐_UNISOC-202407,2024-07-10 08:07:00,FAIL,high,155,1,0.00645,SRC-QI-ORD-2024-100066,紫光展锐 (UNISOC),光学镜头,SKU-AE-M01,ORD-2024-100066,Line-QA-B,functional_drift
QI-ORD-2024-100067-PCB印刷电路板,BATCH-比亚迪半导体_BYD-202312,2023-12-24 19:41:00,WARN,medium,189,1,0.00529,SRC-QI-ORD-2024-100067,比亚迪半导体 (BYD),PCB印刷电路板,SKU-CE-L01,ORD-2024-100067,Factory-QA-7,functional_drift
QI-ORD-2024-100068-聚合物锂电池,BATCH-北方华创_NAURA-202312,2023-12-15 03:19:00,FAIL,high,82,1,0.01220,SRC-QI-ORD-2024-100068,北方华创 (NAURA),聚合物锂电池,SKU-WE-V01,ORD-2024-100068,Line-QA-B,capacity_drift
QI-ORD-2024-100069-主控芯片,BATCH-闻泰科技_WINGTECH-202403,2024-03-06 11:02:00,FAIL,high,136,1,0.00735,SRC-QI-ORD-2024-100069,闻泰科技 (Wingtech),主控芯片,SKU-AE-M01,ORD-2024-100069,Line-QA-B,functional_drift
QI-ORD-2024-100071-OLED柔性屏,BATCH-比亚迪半导体_BYD-202406,2024-06-06 17:50:00,FAIL,high,157,1,0.00637,SRC-QI-ORD-2024-100071,比亚迪半导体 (BYD),OLED柔性屏,SKU-AE-C01,ORD-2024-100071,Factory-QA-7,display_mura
QI-ORD-2024-100072-主控芯片,BATCH-华为海思_HISILICON-202409,2024-09-07 17:25:00,FAIL,high,189,2,0.01058,SRC-QI-ORD-2024-100072,华为海思 (HiSilicon),主控芯片,SKU-ST-M01,ORD-2024-100072,Line-QA-A,functional_drift
QI-ORD-2024-100073-闪存颗粒,BATCH-北方华创_NAURA-202309,2023-09-08 20:19:00,WARN,medium,186,1,0.00538,SRC-QI-ORD-2024-100073,北方华创 (NAURA),闪存颗粒,SKU-AE-C01,ORD-2024-100073,Factory-QA-7,display_mura
QI-ORD-2024-100075-PCB印刷电路板,BATCH-立讯精密_LUXSHARE-202312,2023-12-25 07:00:00,FAIL,high,149,1,0.00671,SRC-QI-ORD-2024-100075,立讯精密 (Luxshare),PCB印刷电路板,SKU-CE-P01,ORD-2024-100075,Line-QA-A,functional_drift
QI-ORD-2024-100077-光学镜头,BATCH-比亚迪半导体_BYD-202410,2024-10-13 04:51:00,WARN,medium,174,1,0.00575,SRC-QI-ORD-2024-100077,比亚迪半导体 (BYD),光学镜头,SKU-CE-L01,ORD-2024-100077,Line-QA-A,functional_drift
QI-ORD-2024-100078-主控芯片,BATCH-紫光展锐_UNISOC-202409,2024-09-26 18:10:00,WARN,medium,192,1,0.00521,SRC-QI-ORD-2024-100078,紫光展锐 (UNISOC),主控芯片,SKU-CE-L01,ORD-2024-100078,Line-QA-A,functional_drift
QI-ORD-2024-100079-聚合物锂电池,BATCH-北方华创_NAURA-202403,2024-03-04 08:12:00,FAIL,high,102,1,0.00980,SRC-QI-ORD-2024-100079,北方华创 (NAURA),聚合物锂电池,SKU-AE-M01,ORD-2024-100079,Line-QA-B,capacity_drift
QI-ORD-2024-100080-散热模组,BATCH-京东方_BOE-202309,2023-09-13 08:28:00,FAIL,high,164,1,0.00610,SRC-QI-ORD-2024-100080,京东方 (BOE),散热模组,SKU-ST-S01,ORD-2024-100080,Line-QA-A,connector_shift
QI-ORD-2024-100081-硅晶圆,BATCH-京东方_BOE-202410,2024-10-12 18:19:00,WARN,medium,199,1,0.00503,SRC-QI-ORD-2024-100081,京东方 (BOE),硅晶圆,SKU-AE-C01,ORD-2024-100081,Line-QA-A,display_mura
QI-ORD-2024-100082-PCB印刷电路板,BATCH-中芯国际_SMIC-202404,2024-04-03 08:15:00,WARN,medium,203,1,0.00493,SRC-QI-ORD-2024-100082,中芯国际 (SMIC),PCB印刷电路板,SKU-CE-L01,ORD-2024-100082,Factory-QA-7,functional_drift
QI-ORD-2024-100083-主控芯片,BATCH-中芯国际_SMIC-202402,2024-02-26 05:27:00,FAIL,high,204,1,0.00490,SRC-QI-ORD-2024-100083,中芯国际 (SMIC),主控芯片,SKU-ST-M01,ORD-2024-100083,Line-QA-A,functional_drift
QI-ORD-2024-100085-硅晶圆,BATCH-比亚迪半导体_BYD-202308,2023-08-31 11:15:00,FAIL,high,110,1,0.00909,SRC-QI-ORD-2024-100085,比亚迪半导体 (BYD),硅晶圆,SKU-AE-C01,ORD-2024-100085,Line-QA-A,display_mura
QI-ORD-2024-100086-CMOS图像传感器,BATCH-比亚迪半导体_BYD-202406,2024-06-13 01:25:00,FAIL,high,80,1,0.01250,SRC-QI-ORD-2024-100086,比亚迪半导体 (BYD),CMOS图像传感器,SKU-CE-L01,ORD-2024-100086,Line-QA-B,sensor_noise
QI-ORD-2024-100087-OLED柔性屏,BATCH-华为海思_HISILICON-202408,2024-08-13 03:37:00,FAIL,high,155,1,0.00645,SRC-QI-ORD-2024-100087,华为海思 (HiSilicon),OLED柔性屏,SKU-CE-L01,ORD-2024-100087,Line-QA-B,display_mura
QI-ORD-2024-100088-OLED柔性屏,BATCH-闻泰科技_WINGTECH-202306,2023-06-25 13:42:00,FAIL,high,83,1,0.01205,SRC-QI-ORD-2024-100088,闻泰科技 (Wingtech),OLED柔性屏,SKU-AE-M01,ORD-2024-100088,Line-QA-B,display_mura
QI-ORD-2024-100089-CMOS图像传感器,BATCH-京东方_BOE-202402,2024-02-16 17:18:00,FAIL,high,112,1,0.00893,SRC-QI-ORD-2024-100089,京东方 (BOE),CMOS图像传感器,SKU-WE-V01,ORD-2024-100089,Line-QA-B,sensor_noise
QI-ORD-2024-100090-OLED柔性屏,BATCH-长江存储_YMTC-202404,2024-04-02 22:04:00,FAIL,high,187,2,0.01070,SRC-QI-ORD-2024-100090,长江存储 (YMTC),OLED柔性屏,SKU-CE-P01,ORD-2024-100090,Line-QA-A,display_mura
QI-ORD-2024-100091-光学镜头,BATCH-京东方_BOE-202402,2024-02-26 04:24:00,FAIL,high,159,1,0.00629,SRC-QI-ORD-2024-100091,京东方 (BOE),光学镜头,SKU-ST-S01,ORD-2024-100091,Factory-QA-7,functional_drift
QI-ORD-2024-100092-光学镜头,BATCH-中芯国际_SMIC-202409,2024-08-30 18:37:00,FAIL,high,156,2,0.01282,SRC-QI-ORD-2024-100092,中芯国际 (SMIC),光学镜头,SKU-WE-V01,ORD-2024-100092,Line-QA-A,functional_drift
QI-ORD-2024-100093-光学镜头,BATCH-闻泰科技_WINGTECH-202404,2024-04-13 01:01:00,FAIL,high,209,1,0.00478,SRC-QI-ORD-2024-100093,闻泰科技 (Wingtech),光学镜头,SKU-CE-P01,ORD-2024-100093,Factory-QA-7,functional_drift
QI-ORD-2024-100094-散热模组,BATCH-长江存储_YMTC-202401,2024-01-01 06:14:00,FAIL,high,118,1,0.00847,SRC-QI-ORD-2024-100094,长江存储 (YMTC),散热模组,SKU-WE-W01,ORD-2024-100094,Line-QA-A,connector_shift
QI-ORD-2024-100095-散热模组,BATCH-闻泰科技_WINGTECH-202403,2024-03-19 03:53:00,FAIL,high,178,1,0.00562,SRC-QI-ORD-2024-100095,闻泰科技 (Wingtech),散热模组,SKU-ST-S01,ORD-2024-100095,Line-QA-B,connector_shift
QI-ORD-2024-100097-OLED柔性屏,BATCH-韦尔股份_WILLSEMI-202307,2023-07-27 00:40:00,FAIL,high,141,1,0.00709,SRC-QI-ORD-2024-100097,韦尔股份 (Willsemi),OLED柔性屏,SKU-AE-C01,ORD-2024-100097,Line-QA-B,display_mura
QI-ORD-2024-100098-聚合物锂电池,BATCH-紫光展锐_UNISOC-202403,2024-03-04 03:17:00,FAIL,high,214,2,0.00935,SRC-QI-ORD-2024-100098,紫光展锐 (UNISOC),聚合物锂电池,SKU-WE-V01,ORD-2024-100098,Line-QA-A,capacity_drift
QI-ORD-2024-100099-OLED柔性屏,BATCH-立讯精密_LUXSHARE-202409,2024-10-01 05:27:00,FAIL,high,144,1,0.00694,SRC-QI-ORD-2024-100099,立讯精密 (Luxshare),OLED柔性屏,SKU-ST-S01,ORD-2024-100099,Line-QA-B,display_mura
QI-ORD-2024-100100-光学镜头,BATCH-韦尔股份_WILLSEMI-202309,2023-09-16 16:34:00,FAIL,high,165,1,0.00606,SRC-QI-ORD-2024-100100,韦尔股份 (Willsemi),光学镜头,SKU-AE-C01,ORD-2024-100100,Factory-QA-7,display_mura
QI-ORD-2024-100101-聚合物锂电池,BATCH-歌尔股份_GOERTEK-202306,2023-06-22 22:26:00,FAIL,high,83,1,0.01205,SRC-QI-ORD-2024-100101,歌尔股份 (Goertek),聚合物锂电池,SKU-AE-C01,ORD-2024-100101,Line-QA-B,display_mura
QI-ORD-2024-100102-主控芯片,BATCH-长江存储_YMTC-202401,2024-01-03 08:41:00,FAIL,high,113,1,0.00885,SRC-QI-ORD-2024-100102,长江存储 (YMTC),主控芯片,SKU-AE-C01,ORD-2024-100102,Line-QA-A,display_mura
QI-ORD-2024-100103-散热模组,BATCH-歌尔股份_GOERTEK-202308,2023-08-08 02:26:00,FAIL,high,87,1,0.01149,SRC-QI-ORD-2024-100103,歌尔股份 (Goertek),散热模组,SKU-AE-C01,ORD-2024-100103,Factory-QA-7,display_mura
QI-ORD-2024-100104-闪存颗粒,BATCH-紫光展锐_UNISOC-202401,2024-01-06 06:15:00,FAIL,high,156,1,0.00641,SRC-QI-ORD-2024-100104,紫光展锐 (UNISOC),闪存颗粒,SKU-ST-M01,ORD-2024-100104,Factory-QA-7,functional_drift
QI-ORD-2024-100105-硅晶圆,BATCH-京东方_BOE-202312,2023-12-28 10:32:00,WARN,medium,168,1,0.00595,SRC-QI-ORD-2024-100105,京东方 (BOE),硅晶圆,SKU-AE-C01,ORD-2024-100105,Line-QA-B,display_mura
QI-ORD-2024-100107-CMOS图像传感器,BATCH-闻泰科技_WINGTECH-202311,2023-11-26 15:46:00,WARN,medium,186,1,0.00538,SRC-QI-ORD-2024-100107,闻泰科技 (Wingtech),CMOS图像传感器,SKU-AE-M01,ORD-2024-100107,Factory-QA-7,sensor_noise
QI-ORD-2024-100108-闪存颗粒,BATCH-韦尔股份_WILLSEMI-202408,2024-08-20 12:02:00,FAIL,high,169,2,0.01183,SRC-QI-ORD-2024-100108,韦尔股份 (Willsemi),闪存颗粒,SKU-WE-W01,ORD-2024-100108,Line-QA-B,functional_drift
QI-ORD-2024-100109-聚合物锂电池,BATCH-比亚迪半导体_BYD-202401,2024-01-04 05:20:00,FAIL,high,148,1,0.00676,SRC-QI-ORD-2024-100109,比亚迪半导体 (BYD),聚合物锂电池,SKU-CE-P01,ORD-2024-100109,Line-QA-B,capacity_drift
QI-ORD-2024-100110-光学镜头,BATCH-立讯精密_LUXSHARE-202402,2024-02-11 09:10:00,FAIL,high,84,1,0.01190,SRC-QI-ORD-2024-100110,立讯精密 (Luxshare),光学镜头,SKU-ST-M01,ORD-2024-100110,Factory-QA-7,functional_drift
QI-ORD-2024-100111-OLED柔性屏,BATCH-比亚迪半导体_BYD-202408,2024-08-10 15:18:00,FAIL,high,133,2,0.01504,SRC-QI-ORD-2024-100111,比亚迪半导体 (BYD),OLED柔性屏,SKU-CE-P01,ORD-2024-100111,Line-QA-A,display_mura
